tree, lambdaD, lambdaL, node, sequence
50, 0.2780679, 3.001038, b, 22000100020021000220
50, 0.2780679, 3.001038, c, 00000200020000101000
51, 0.1937339, 2.451939, a, 01210000020020102000
51, 0.1937339, 2.451939, b, 12011200020011000002
51, 0.1937339, 2.451939, c, 00100102020200012110
52, 0.6707816, 7.573789, a, 00020002020022012200
52, 0.6707816, 7.573789, b, 00120002000021210222
52, 0.6707816, 7.573789, c, 00000020000200200002
53, 1.524374, 1.683294, a, 02200000222020020001
53, 1.524374, 1.683294, b, 12120002212000020001
53, 1.524374, 1.683294, c, 12000001021000011100
54, 0.3771331, 1.727802, a, 02012112001122100102
54, 0.3771331, 1.727802, b, 02022202012102110120
54, 0.3771331, 1.727802, c, 01101201022101020100
55, 0.564348, 0.2967934, a, 10101101001012110100
55, 0.564348, 0.2967934, b, 10101101001101100001
55, 0.564348, 0.2967934, c, 10100111111200101100
56, 1.578609, 3.971591, a, 00020100000200020102
56, 1.578609, 3.971591, b, 00022000020220020001
56, 1.578609, 3.971591, c, 02110120100000200000
57, 1.012906, 1.237329, a, 00010010112002011000
57, 1.012906, 1.237329, b, 10000002001000021001
57, 1.012906, 1.237329, c, 01100012010112002020
58, 0.2614339, 3.189962, a, 10121020102001020200
58, 0.2614339, 3.189962, b, 10020110001000011200
58, 0.2614339, 3.189962, c, 02002210020100112200
59, 0.2175602, 0.7136779, a, 02001100000101000201
59, 0.2175602, 0.7136779, b, 11102100110111011201
59, 0.2175602, 0.7136779, c, 20110011002001100021
60, 0.1251687, 0.81846, a, 00001111011010202101
60, 0.1251687, 0.81846, b, 00000111001000102001
60, 0.1251687, 0.81846, c, 11000021201110000212
61, 2.530044, 2.029109, a, 01020000000100110000
61, 2.530044, 2.029109, b, 02010100002000010100
61, 2.530044, 2.029109, c, 00000000101002020020
62, 0.3185533, 1.179237, a, 10000200021001010111
62, 0.3185533, 1.179237, b, 01022200111100111101
62, 0.3185533, 1.179237, c, 20121101111002000102
63, 1.567931, 1.111045, a, 01200110000000010000
63, 1.567931, 1.111045, b, 02210010000020100101
63, 1.567931, 1.111045, c, 21000100001000110100
64, 0.1367262, 0.4422927, a, 11011121101121110100
64, 0.1367262, 0.4422927, b, 01001111100221110000
64, 0.1367262, 0.4422927, c, 11200001110011000211
65, 0.2589417, 2.557613, a, 00000220102022000012
65, 0.2589417, 2.557613, b, 02000002120121001002
65, 0.2589417, 2.557613, c, 01220000002022020001
66, 1.502701, 1.199564, a, 12101001010100200110
66, 1.502701, 1.199564, b, 02121011001000000221
66, 1.502701, 1.199564, c, 00021010001011000000
67, 0.2442325, 2.466982, a, 20210012000002021000
67, 0.2442325, 2.466982, b, 10201100010000001010
67, 0.2442325, 2.466982, c, 20010122000000201002
68, 0.3682387, 1.425009, a, 00002100002102101000
68, 0.3682387, 1.425009, b, 00010101021001120001
68, 0.3682387, 1.425009, c, 01121000211001021200
69, 0.8193138, 2.009816, a, 00001012020200110202
69, 0.8193138, 2.009816, b, 21001202000000001212
69, 0.8193138, 2.009816, c, 02020200222012001120
70, 0.333481, 3.526974, a, 00102010102020002011
70, 0.333481, 3.526974, b, 12012000112010000010
70, 0.333481, 3.526974, c, 00222001200221120020
71, 0.3536724, 1.262029, a, 01111101201001010100
71, 0.3536724, 1.262029, b, 00010201000000021110
71, 0.3536724, 1.262029, c, 20201000000112202101
72, 0.1875629, 0.6200978, a, 00120011002111010021
72, 0.1875629, 0.6200978, b, 00000202011111010011
72, 0.1875629, 0.6200978, c, 00111100001011100101
73, 0.8323302, 0.6030002, a, 20101001012010011210
73, 0.8323302, 0.6030002, b, 20000112001110210001
73, 0.8323302, 0.6030002, c, 11112000210020111121
74, 0.1503901, 1.125572, a, 10201000002120220102
74, 0.1503901, 1.125572, b, 11110110101111220212
74, 0.1503901, 1.125572, c, 21110110002010110000
75, 0.1885044, 3.961368, a, 01002202200000022101
75, 0.1885044, 3.961368, b, 10012201100000022002
75, 0.1885044, 3.961368, c, 22222020000201022010
76, 0.308287, 1.987918, a, 02100000001011001010
76, 0.308287, 1.987918, b, 20112000011220001012
76, 0.308287, 1.987918, c, 11100001200200020000
77, 0.4602868, 4.578757, a, 02100200220220222222
77, 0.4602868, 4.578757, b, 11000200210222122002
77, 0.4602868, 4.578757, c, 21221222000010000022
78, 0.7926422, 3.784546, a, 11212012000020000100
78, 0.7926422, 3.784546, b, 01220010202010210100
78, 0.7926422, 3.784546, c, 01200022200200000002
79, 0.166131, 0.8962704, a, 02101120102021101001
79, 0.166131, 0.8962704, b, 02010110022111011000
79, 0.166131, 0.8962704, c, 11020211000010000010
80, 0.3137123, 2.742255, a, 00211000010121100002
80, 0.3137123, 2.742255, b, 00020200210022001002
80, 0.3137123, 2.742255, c, 10001100000200200000
81, 0.2973685, 4.083295, a, 01200110020020200012
81, 0.2973685, 4.083295, b, 22212000020102220002
81, 0.2973685, 4.083295, c, 00020000020210200222
82, 0.4035527, 0.6214509, a, 11121110000111010201
82, 0.4035527, 0.6214509, b, 10220100011121000200
82, 0.4035527, 0.6214509, c, 20000021100110011001
