tree, lambdaD, lambdaL, node, sequence
77, 3, 2, b, 20101010122002000020
77, 3, 2, c, 00002021102202020020
78, 3, 2, a, 11000000011000101102
78, 3, 2, b, 10000020201000000210
78, 3, 2, c, 00000211100000122202
79, 3, 2, a, 10012000000000002001
79, 3, 2, b, 22112010000200012000
79, 3, 2, c, 00010200102000110100
80, 3, 2, a, 10002011100000012000
80, 3, 2, b, 00021110000020011001
80, 3, 2, c, 00000011011002202212
81, 3, 2, a, 20122212110000002000
81, 3, 2, b, 12022001222202210000
81, 3, 2, c, 00000012101122211000
82, 3, 2, a, 00002000010000020010
82, 3, 2, b, 20201011010000200022
82, 3, 2, c, 10020000000100000200
83, 3, 2, a, 00200020200010010001
83, 3, 2, b, 01100221200110000102
83, 3, 2, c, 02110000100000000012
84, 3, 2, a, 00100000010120000002
84, 3, 2, b, 00010100100020001000
84, 3, 2, c, 10001000000100100000
85, 3, 2, a, 00020110011000001010
85, 3, 2, b, 00122111200001010220
85, 3, 2, c, 00010002000002011010
86, 3, 2, a, 12020200000000100000
86, 3, 2, b, 00020201001201000211
86, 3, 2, c, 21000200200000200001
87, 3, 2, a, 01110010000001102000
87, 3, 2, b, 10012100000101201021
87, 3, 2, c, 12110100000021210220
88, 3, 2, a, 00020021100021201110
88, 3, 2, b, 00200020000001010200
88, 3, 2, c, 00002020011000002002
89, 3, 2, a, 00000020101022010100
89, 3, 2, b, 00000020101010012002
89, 3, 2, c, 00010002000101020010
90, 3, 2, a, 01012000001000022210
90, 3, 2, b, 01000100001010010221
90, 3, 2, c, 20020112100100020001
91, 3, 2, a, 01112020210020010000
91, 3, 2, b, 00102000020012000001
91, 3, 2, c, 00220210010201000012
92, 3, 2, a, 01000000100001000000
92, 3, 2, b, 10002002000100100000
92, 3, 2, c, 00002110002022020000
93, 3, 2, a, 21020020010102020200
93, 3, 2, b, 00100020100000011002
93, 3, 2, c, 00002002021001020102
94, 3, 2, a, 01000002002110100111
94, 3, 2, b, 01000001000120202000
94, 3, 2, c, 20122100010010100001
95, 3, 2, a, 00020222102001201200
95, 3, 2, b, 20020120211010200000
95, 3, 2, c, 00000000000002200010
